species|ecology|status|trends|world distribution
Cerastium cerastoides|A straggling, mat-forming montane perennial herb that grows on wet acidic rocks, often in areas of late snow-lie. It is usually found above 750 m and reaches an altitude of 1220 m on Ben Macdui (S. Aberdeen), but occurs at 335 m near Mar Lodge (S. Aberdeen).|Native|More sites have been discovered since the 1962 Atlas, but the general 10-km distribution seems stable. C. cerastoides may still be under-recorded.|European Arctic-montane element; also in C. Asia and N. America.
Cerastium diffusum|An annual of light, dry, sandy or gravelly soil. Coastal habitats include open grassland, fixed dunes, sandy banks and sheltered rock crevices. Inland, it occurs in a range of open habitats, including dry grassland, by paths, on wall-tops, road verges and railway ballast. 0-455 m (Dalnaspidal, E. Perth).|Native|There has been no change in the coastal distribution since the 1962 Atlas. It has declined in many inland railway sites, which it colonised during the Second World War, but this seems to have been offset to some extent by recent records from salt-treated roadsides. It has not been possible to distinguish alien from native records inland and all are mapped as if they were native.|European Temperate element.     © L. Rooney
Cerastium fontanum|A tufted or mat-forming perennial herb found in a wide range of, usually fertile, habitats including neutral pastures and meadows, calcareous and acidic grassland, fen-meadows, rush-pastures, heaths and mires, springs and flushes, montane grassland, rocks and ledges, sand dunes and shingle, cultivated ground, waste places and walls. 0-1220 m (Aonach Beag, Westerness).|Native|The distribution is similar to that in the 1962 Atlas. Subsp. vulgare and subsp. holosteoides are common throughout the range of the species, although the latter is more frequent in the north; subsp. scoticum is mapped separately.|Eurosiberian Boreo-temperate element, but widely naturalised so that distribution is now Circumpolar Boreo-temperate.     © L. Rooney
Cerastium glomeratum|C. glomeratum grows in disturbed areas, often in places where there is some nutrient enrichment. It is fairly tolerant of trampling and is particularly common around farms, in gateways, on field edges, in bare patches in improved grassland, beside tracks and in waste places. It is also frequent on sand dunes and shingle. 0-610 m (Black`s Hope, Dumfriess.).|Native|There has been a large increase in records compared to the 1962 Atlas, especially in N. & W. Britain and in Ireland. This is probably due both to more comprehensive recording and a genuine spread in disturbed, nutrient-rich habitats.|European Southern-temperate element, but widely naturalised so that distribution is now Circumpolar Southern-temperate.     © G. Toone, IWNHAS
Cerastium nigrescens|A tufted perennial herb confined to two adjacent hills on very exposed, sparsely-vegetated fell-field of shattered serpentine rock. Although it grows to an altitude of only 80 m, the habitat has many similarities to more montane communities.|Native|The numbers of C. nigrescens fluctuate from year to year, for reasons that are unclear, but the underlying trend seems stable, and there has been no change in its distribution.|Endemic.
Cerastium pumilum|A winter-annual of chalk and limestone substrates, occurring mainly in open, barish patches within short-grazed grassland, especially on sunny banks and cliffs; also found as an alien in quarries, on spoil heaps and on ballast along railway lines (e.g. in Beds.). Lowland.|Native|Many of the sites in the eastern part of its range were lost before 1930, but C. pumilum has apparently decreased further here since the 1962 Atlas. It seems to be stable elsewhere, and now much better recorded in its core areas. However, because the plant resembles other Cerastium species, has a short season and fluctuates in numbers, it may perhaps be overlooked to some extent.|European Temperate element.     © K.J. Walker, BSBI
Cerastium semidecandrum|This annual or overwintering herb of well-drained, sandy or calcareous soils is found on dry banks and open, grassy places, on heathy ground, fixed dunes, disturbed sandy areas near the sea and walls. It also grows on rock ledges and bare places on limestone, and occasionally grows in heavier clay soils. 0-485 m (Isla, E. Perth).|Native|This species was under-recorded in the 1962 Atlas. The map presents a much improved illustration of its distribution, but it may remain poorly recorded in some areas.|European Temperate element; widely naturalised outside its native range.
Cerastium tomentosum|A spreading, mat-forming perennial herb naturalised on roadsides, railway banks, waste ground, tips, dunes and coastal shingle. Lowland.|Neophyte|C. tomentosum has been cultivated in Britain since 1648 and is now common in parks and gardens; records from the wild, the first of which was in 1915, are of garden escapes or plants originating from discarded material. There are five times as many 10-km square records of this species as in the 1962 Atlas and this probably results from both a genuine increase and the improved recording of aliens.|Native of Italy & Sicily; widely naturalised elsewhere in Europe.     © P. Shannon
Ceratocapnos claviculata|A climbing or scrambling annual of freely-draining acidic, mineral or peaty soils. It occurs in deciduous and coniferous woodland, especially in clearings and in recently felled areas, under Pteridium and in scrub, and occasionally over rock outcrops. In Ireland, it occurs on shaded boulder slopes. Generally lowland, but reaching 430 m on Deadwater Fell (S. Northumb.).|Native|The overall distribution of this species has not changed since the 1962 Atlas, although it is now much better recorded.|Oceanic Temperate element.     © P. Shannon
Ceratochloa carinata|A vigorous perennial herb, which is often short-lived or annual in Britain, found on road verges, towpaths, beside paths, on field-borders, waste ground and by rivers. It is cleistogamous, and seed can be produced almost all year round. Lowland.|Neophyte|C. carinata was apparently originally introduced as a fodder grass but is also a contaminant of agricultural seed. It was first recorded as an escape from the Royal Botanic Gardens, Kew, in about 1919, but it did not begin to spread until 1945. There were still only a very few records in the 1962 Atlas. Since then it has spread rapidly, particularly on lighter soils. The new cultivar `Deborah` was developed in c. 1975.|Native of western N. America.
Ceratochloa cathartica|A usually short-lived perennial, found on roadsides, waste ground and the borders of fields, and in arable crops. It normally occurs as a casual, but can become naturalised, especially in the Channel Islands and the Isles of Scilly. Lowland.|Neophyte|C. cathartica was introduced as a fodder grass in 1788, and also occurs as a grain- and wool-alien. It was first recorded in the wild in 1870, and may be increasing slowly.|Native of N. & S. America.
Ceratophyllum demersum|An aquatic which grows submerged in still or slowly flowing, eutrophic water in lakes, ponds, rivers, canals and ditches. It may be so abundant in ponds and ditches that it forms dense masses which rise above the water surface. Reproduction is mostly by vegetative fragmentation, but seeds are produced in still-water habitats in some years. Lowland.|Native|This species appears to be more frequent than shown in the 1962 Atlas. This probably reflects better recording of aquatic plants, but there is little doubt that because this species grows in eutrophic water its distribution is at least stable, if not increasing.|Circumpolar Southern-temperate element.     © G. Toone, IWNHAS
